Demographic,Year,Period,Month,Unemployment_rate,date
Hispanic,2020,M03,Mar,5.9,3/1/2020
Hispanic,2020,M04,Apr,18.8,4/1/2020
Hispanic,2020,M05,May,17.6,5/1/2020
Hispanic,2020,M06,Jun,14.5,6/1/2020
Hispanic,2020,M07,Jul,12.8,7/1/2020
Hispanic,2020,M08,Aug,10.6,8/1/2020
Hispanic,2020,M09,Sep,10.4,9/1/2020
Hispanic,2020,M10,Oct,8.9,10/1/2020
Hispanic,2020,M11,Nov,8.6,11/1/2020
Hispanic,2020,M12,Dec,9.4,12/1/2020
Hispanic,2021,M01,Jan,8.6,1/1/2021
Hispanic,2021,M02,Feb,8.4,2/1/2021
Hispanic,2021,M03,Mar,7.7,3/1/2021
Hispanic,2021,M04,Apr,7.7,4/1/2021
Hispanic,2021,M05,May,7.1,5/1/2021
Hispanic,2021,M06,Jun,7.2,6/1/2021
Hispanic,2021,M07,Jul,6.4,7/1/2021
Hispanic,2021,M08,Aug,6.2,8/1/2021
Hispanic,2021,M09,Sep,6.1,9/1/2021
Hispanic,2021,M10,Oct,5.7,10/1/2021
Hispanic,2021,M11,Nov,5.2,11/1/2021
Hispanic,2021,M12,Dec,4.9,12/1/2021
White,2010,M01,Jan,8.8,1/1/2010
White,2010,M02,Feb,8.9,2/1/2010
White,2010,M03,Mar,8.9,3/1/2010
White,2010,M04,Apr,9,4/1/2010
White,2010,M05,May,8.7,5/1/2010
White,2010,M06,Jun,8.6,6/1/2010
White,2010,M07,Jul,8.5,7/1/2010
White,2010,M08,Aug,8.6,8/1/2010
White,2010,M09,Sep,8.6,9/1/2010
White,2010,M10,Oct,8.6,10/1/2010
White,2010,M11,Nov,8.9,11/1/2010
White,2010,M12,Dec,8.5,12/1/2010
White,2011,M01,Jan,8.1,1/1/2011
White,2011,M02,Feb,8.1,2/1/2011
White,2011,M03,Mar,8,3/1/2011
White,2011,M04,Apr,8.1,4/1/2011
White,2011,M05,May,7.9,5/1/2011
White,2011,M06,Jun,8.1,6/1/2011
White,2011,M07,Jul,8,7/1/2011
White,2011,M08,Aug,7.9,8/1/2011
White,2011,M09,Sep,7.9,9/1/2011
White,2011,M10,Oct,7.9,10/1/2011
White,2011,M11,Nov,7.7,11/1/2011
White,2011,M12,Dec,7.5,12/1/2011
White,2012,M01,Jan,7.4,1/1/2012
White,2012,M02,Feb,7.4,2/1/2012
White,2012,M03,Mar,7.3,3/1/2012
White,2012,M04,Apr,7.4,4/1/2012
White,2012,M05,May,7.4,5/1/2012
White,2012,M06,Jun,7.3,6/1/2012
White,2012,M07,Jul,7.3,7/1/2012
White,2012,M08,Aug,7.2,8/1/2012
White,2012,M09,Sep,7,9/1/2012
White,2012,M10,Oct,6.9,10/1/2012
White,2012,M11,Nov,6.8,11/1/2012
White,2012,M12,Dec,6.9,12/1/2012
White,2013,M01,Jan,7.1,1/1/2013
White,2013,M02,Feb,6.8,2/1/2013
White,2013,M03,Mar,6.7,3/1/2013
White,2013,M04,Apr,6.7,4/1/2013
White,2013,M05,May,6.7,5/1/2013
White,2013,M06,Jun,6.6,6/1/2013
White,2013,M07,Jul,6.5,7/1/2013
White,2013,M08,Aug,6.4,8/1/2013
White,2013,M09,Sep,6.3,9/1/2013
White,2013,M10,Oct,6.3,10/1/2013
White,2013,M11,Nov,6.1,11/1/2013
White,2013,M12,Dec,5.9,12/1/2013
White,2014,M01,Jan,5.7,1/1/2014
White,2014,M02,Feb,5.8,2/1/2014
White,2014,M03,Mar,5.8,3/1/2014
White,2014,M04,Apr,5.3,4/1/2014
White,2014,M05,May,5.4,5/1/2014
White,2014,M06,Jun,5.3,6/1/2014
White,2014,M07,Jul,5.3,7/1/2014
White,2014,M08,Aug,5.3,8/1/2014
White,2014,M09,Sep,5.1,9/1/2014
White,2014,M10,Oct,4.9,10/1/2014
White,2014,M11,Nov,5,11/1/2014
White,2014,M12,Dec,4.7,12/1/2014
White,2015,M01,Jan,4.9,1/1/2015
White,2015,M02,Feb,4.7,2/1/2015
White,2015,M03,Mar,4.8,3/1/2015
White,2015,M04,Apr,4.7,4/1/2015
White,2015,M05,May,4.8,5/1/2015
White,2015,M06,Jun,4.6,6/1/2015
White,2015,M07,Jul,4.5,7/1/2015
White,2015,M08,Aug,4.4,8/1/2015
White,2015,M09,Sep,4.4,9/1/2015
White,2015,M10,Oct,4.4,10/1/2015
White,2015,M11,Nov,4.4,11/1/2015
White,2015,M12,Dec,4.4,12/1/2015
White,2016,M01,Jan,4.2,1/1/2016
White,2016,M02,Feb,4.2,2/1/2016
White,2016,M03,Mar,4.3,3/1/2016
White,2016,M04,Apr,4.4,4/1/2016
White,2016,M05,May,4.2,5/1/2016
White,2016,M06,Jun,4.3,6/1/2016
White,2016,M07,Jul,4.2,7/1/2016
White,2016,M08,Aug,4.4,8/1/2016
White,2016,M09,Sep,4.4,9/1/2016
White,2016,M10,Oct,4.4,10/1/2016
White,2016,M11,Nov,4.2,11/1/2016
White,2016,M12,Dec,4.2,12/1/2016
White,2017,M01,Jan,4.2,1/1/2017
White,2017,M02,Feb,4,2/1/2017
White,2017,M03,Mar,3.8,3/1/2017
White,2017,M04,Apr,3.9,4/1/2017
White,2017,M05,May,3.7,5/1/2017
White,2017,M06,Jun,3.8,6/1/2017
White,2017,M07,Jul,3.8,7/1/2017
White,2017,M08,Aug,3.9,8/1/2017
White,2017,M09,Sep,3.7,9/1/2017
White,2017,M10,Oct,3.6,10/1/2017
White,2017,M11,Nov,3.7,11/1/2017
White,2017,M12,Dec,3.7,12/1/2017
White,2018,M01,Jan,3.5,1/1/2018
White,2018,M02,Feb,3.6,2/1/2018
White,2018,M03,Mar,3.5,3/1/2018
White,2018,M04,Apr,3.6,4/1/2018
White,2018,M05,May,3.5,5/1/2018
White,2018,M06,Jun,3.5,6/1/2018
White,2018,M07,Jul,3.4,7/1/2018
White,2018,M08,Aug,3.5,8/1/2018
White,2018,M09,Sep,3.3,9/1/2018
White,2018,M10,Oct,3.4,10/1/2018
White,2018,M11,Nov,3.4,11/1/2018
White,2018,M12,Dec,3.4,12/1/2018
White,2019,M01,Jan,3.5,1/1/2019
White,2019,M02,Feb,3.2,2/1/2019
White,2019,M03,Mar,3.3,3/1/2019
White,2019,M04,Apr,3.2,4/1/2019
White,2019,M05,May,3.3,5/1/2019
White,2019,M06,Jun,3.3,6/1/2019
White,2019,M07,Jul,3.3,7/1/2019
White,2019,M08,Aug,3.5,8/1/2019
White,2019,M09,Sep,3.2,9/1/2019
White,2019,M10,Oct,3.3,10/1/2019
White,2019,M11,Nov,3.2,11/1/2019
White,2019,M12,Dec,3.2,12/1/2019
White,2020,M01,Jan,3.1,1/1/2020
White,2020,M02,Feb,3,2/1/2020
White,2020,M03,Mar,3.9,3/1/2020
White,2020,M04,Apr,14.1,4/1/2020
White,2020,M05,May,12.3,5/1/2020
White,2020,M06,Jun,10,6/1/2020
White,2020,M07,Jul,9.2,7/1/2020
White,2020,M08,Aug,7.4,8/1/2020
White,2020,M09,Sep,7,9/1/2020
White,2020,M10,Oct,6,10/1/2020
White,2020,M11,Nov,6,11/1/2020
White,2020,M12,Dec,6.1,12/1/2020
White,2021,M01,Jan,5.7,1/1/2021
White,2021,M02,Feb,5.5,2/1/2021
White,2021,M03,Mar,5.3,3/1/2021
White,2021,M04,Apr,5.3,4/1/2021
White,2021,M05,May,5.1,5/1/2021
